Dry_Temperature,Rel_Humidity,Wet_Temperature
40,98.4,39.75
39,98.4,38.75
38,98.4,37.75
37,98.4,36.75
36,98.3,35.75
35,98.3,34.75
34,98.3,33.75
33,98.3,32.75
32,98.2,31.75
31,98.2,30.75
30,98.2,29.75
29,98.1,28.75
28,98.1,27.75
27,98.1,26.75
26,98,25.75
25,98,24.75
24,97.9,23.75
23,97.9,22.75
22,97.8,21.75
21,97.8,20.75
20,97.7,19.75
19,97.7,18.75
18,97.6,17.75
17,97.5,16.75
16,97.5,15.75
15,97.4,14.75
14,97.3,13.75
13,97.2,12.75
12,97.2,11.75
11,97.1,10.75
10,97,9.75
40,96.9,39.5
39,96.8,38.5
38,96.8,37.5
37,96.7,36.5
36,96.7,35.5
35,96.6,34.5
34,96.6,33.5
33,96.5,32.5
32,96.5,31.5
31,96.4,30.5
30,96.3,29.5
29,96.3,28.5
28,96.2,27.5
27,96.1,26.5
26,96.1,25.5
25,96,24.5
24,95.9,23.5
23,95.8,22.5
22,95.7,21.5
21,95.6,20.5
20,95.5,19.5
19,95.4,18.5
18,95.2,17.5
17,95.1,16.5
16,95,15.5
15,94.8,14.5
14,94.7,13.5
13,94.5,12.5
12,94.3,11.5
11,94.1,10.5
10,93.9,9.5
40,93.8,39
39,93.7,38
38,93.7,37
37,93.6,36
36,93.5,35
35,93.4,34
34,93.3,33
33,93.1,32
32,93,31
31,92.9,30
30,92.8,29
29,92.6,28
28,92.5,27
27,92.3,26
26,92.2,25
25,92,24
24,91.8,23
23,91.7,22
22,91.5,21
21,91.3,20
20,91,19
19,90.8,18
18,90.6,17
17,90.3,16
16,90,15
15,89.8,14
14,89.4,13
13,89.1,12
12,88.8,11
11,88.4,10
10,88,9
40,90.8,38.5
39,90.7,37.5
38,90.6,36.5
37,90.4,35.5
36,90.3,34.5
35,90.1,33.5
34,90,32.5
33,89.8,31.5
32,89.6,30.5
31,89.5,29.5
30,89.3,28.5
29,89.1,27.5
28,88.8,26.5
27,88.6,25.5
26,88.4,24.5
25,88.1,23.5
24,87.9,22.5
23,87.6,21.5
22,87.3,20.5
21,87,19.5
20,86.7,18.5
19,86.4,17.5
18,86,16.5
17,85.6,15.5
16,85.2,14.5
15,84.8,13.5
14,84.3,12.5
13,83.8,11.5
12,83.3,10.5
11,82.7,9.5
10,82.1,8.5
40,87.9,38
39,87.7,37
38,87.6,36
37,87.4,35
36,87.2,34
35,87,33
34,86.8,32
33,86.5,31
