TIME,W35_SHV_2M_KWH(kWh)20181
2020-01-01 0:00,3561.272
2020-01-01 1:00,3579.548
2020-01-01 2:00,3633.818
2020-01-01 3:00,3634.744
2020-01-01 4:00,3649.24
2020-01-01 5:00,3648.212
2020-01-01 6:00,3692.656
2020-01-01 7:00,3733.184
2020-01-01 8:00,3740.884
2020-01-01 9:00,2777.9
2020-01-01 10:00,2708.584
2020-01-01 11:00,2644.164
2020-01-01 12:00,2519.924
2020-01-01 13:00,2399.668
2020-01-01 14:00,2416.432
2020-01-01 15:00,2521.24
2020-01-01 16:00,2542.16
2020-01-01 17:00,2466.2
2020-01-01 18:00,2457.272
2020-01-01 19:00,2452.168
2020-01-01 20:00,2384.448
2020-01-01 21:00,2362.672
2020-01-01 22:00,2296.504
2020-01-01 23:00,2272.232
2020-01-02 0:00,2283.176
2020-01-02 1:00,2288.68
2020-01-02 2:00,2276.992
2020-01-02 3:00,2272.24
2020-01-02 4:00,3158.136
2020-01-02 5:00,3766.144
2020-01-02 6:00,4017.184
2020-01-02 7:00,4534.208
2020-01-02 8:00,4939.24
2020-01-02 9:00,5041.184
2020-01-02 10:00,5029.912
2020-01-02 11:00,5065.52
2020-01-02 12:00,4814.712
2020-01-02 13:00,4860.992
2020-01-02 14:00,4875.824
2020-01-02 15:00,4869.232
2020-01-02 16:00,4742.992
2020-01-02 17:00,4675.216
2020-01-02 18:00,4473.824
2020-01-02 19:00,4125.424
2020-01-02 20:00,3140.528
2020-01-02 21:00,2783.92
2020-01-02 22:00,2500.384
2020-01-02 23:00,2436.432
2020-01-03 0:00,2446.544
2020-01-03 1:00,2412.496
2020-01-03 2:00,2668.256
2020-01-03 3:00,2827.616
2020-01-03 4:00,3556.176
2020-01-03 5:00,3713.808
2020-01-03 6:00,4002.736
2020-01-03 7:00,4557.68
2020-01-03 8:00,4925.104
2020-01-03 9:00,4937.568
2020-01-03 10:00,4829.104
2020-01-03 11:00,4657.952
2020-01-03 12:00,4521.888
2020-01-03 13:00,4468.976
2020-01-03 14:00,4577.984
2020-01-03 15:00,4688.912
2020-01-03 16:00,4584.64
2020-01-03 17:00,4497.616
2020-01-03 18:00,4285.648
2020-01-03 19:00,3554.208
2020-01-03 20:00,2940.224
2020-01-03 21:00,2774.24
2020-01-03 22:00,2630.304
2020-01-03 23:00,2598.272
2020-01-04 0:00,2560.704
2020-01-04 1:00,2552.896
2020-01-04 2:00,2574.848
2020-01-04 3:00,2568
2020-01-04 4:00,2589.12
2020-01-04 5:00,2585.952
2020-01-04 6:00,2587.136
2020-01-04 7:00,2670.368
2020-01-04 8:00,2825.12
2020-01-04 9:00,2861.344
2020-01-04 10:00,2753.792
2020-01-04 11:00,2623.936
2020-01-04 12:00,2491.264
2020-01-04 13:00,2469.824
2020-01-04 14:00,2391.456
2020-01-04 15:00,2530.56
2020-01-04 16:00,2567.296
2020-01-04 17:00,2450.624
2020-01-04 18:00,2440.448
2020-01-04 19:00,2341.824
2020-01-04 20:00,2303.136
2020-01-04 21:00,2301.888
2020-01-04 22:00,2245.888
2020-01-04 23:00,2259.808
2020-01-05 0:00,2244.608
2020-01-05 1:00,2243.584
2020-01-05 2:00,2229.76
2020-01-05 3:00,2205.376
2020-01-05 4:00,2238.176
2020-01-05 5:00,2268.896
2020-01-05 6:00,2258.976
2020-01-05 7:00,2262.272
2020-01-05 8:00,2255.648
2020-01-05 9:00,2247.072
2020-01-05 10:00,2148.768
2020-01-05 11:00,2094.176
2020-01-05 12:00,2047.424
2020-01-05 13:00,2094.144
2020-01-05 14:00,2219.872
2020-01-05 15:00,2279.904
2020-01-05 16:00,2305.12
2020-01-05 17:00,2348
2020-01-05 18:00,2374.112
2020-01-05 19:00,2295.776
2020-01-05 20:00,2274.08
2020-01-05 21:00,2285.6
2020-01-05 22:00,2338.976
2020-01-05 23:00,2339.52
2020-01-06 0:00,2351.84
2020-01-06 1:00,2339.488
2020-01-06 2:00,2336.928
2020-01-06 3:00,2336.928
2020-01-06 4:00,2561.12
2020-01-06 5:00,4088.16
2020-01-06 6:00,4390.816
2020-01-06 7:00,4988.288
2020-01-06 8:00,5186.56
2020-01-06 9:00,5188.672
2020-01-06 10:00,5394.4
2020-01-06 11:00,5478.944
2020-01-06 12:00,5383.904
2020-01-06 13:00,5384.16
2020-01-06 14:00,5450.496
2020-01-06 15:00,5373.984
2020-01-06 16:00,5241.952
2020-01-06 17:00,5139.936
2020-01-06 18:00,4832.672
2020-01-06 19:00,4378.688
2020-01-06 20:00,3236.416
