,elec,hum,rain_fall,rain_type,temp,wind_dir,wind_pwr
2019-01-01 00:00,3330.816,56.0,0.0,None,-4.7,65.0,1.1
2019-01-01 01:00,3339.2,50.0,0.0,None,-3.8,15.0,2.2
2019-01-01 02:00,3287.616,54.0,0.0,None,-2.8,348.0,2.9
2019-01-01 03:00,3287.04,51.0,0.0,None,-1.2,316.0,2.9
2019-01-01 04:00,3372.672,49.0,0.0,None,-0.5,286.0,3.3
2019-01-01 05:00,3560.32,47.0,0.0,None,-0.8,307.0,2.8
2019-01-01 06:00,3610.24,47.0,0.0,None,-1.2,273.0,3.1
2019-01-01 07:00,3779.712,49.0,0.0,None,-1.4,281.0,3.0
2019-01-01 08:00,3616.0640000000003,52.0,0.0,None,-2.0,289.0,2.3
2019-01-01 09:00,3285.312,48.0,0.0,None,-2.5,298.0,2.8
2019-01-01 10:00,3143.488,42.0,0.0,None,-2.9,279.0,1.7
2019-01-01 11:00,3199.4240000000004,42.0,0.0,None,-4.2,313.0,3.0
2019-01-01 12:00,3208.96,49.0,0.0,None,-4.7,328.0,2.5
2019-01-01 13:00,3183.9359999999997,56.0,0.0,None,-5.0,302.0,1.5
2019-01-01 14:00,3103.9359999999997,64.0,0.0,None,-4.9,295.0,1.1
2019-01-01 15:00,3284.928,67.0,0.0,None,-6.7,57.0,0.8
2019-01-01 16:00,3298.368,75.0,0.0,None,-8.0,16.0,0.5
2019-01-01 17:00,3496.704,73.0,0.0,None,-8.0,21.0,1.0
2019-01-01 18:00,3660.0959999999995,73.0,0.0,None,-9.3,20.0,0.5
2019-01-01 19:00,3516.6079999999997,78.0,0.0,None,-9.4,43.0,0.5
2019-01-01 20:00,3321.728,79.0,0.0,None,-9.3,33.0,0.9
2019-01-01 21:00,3390.848,77.0,0.0,None,-9.1,35.0,1.3
2019-01-01 22:00,3163.776,80.0,0.0,None,-9.3,31.0,0.7
2019-01-01 23:00,3212.928,74.0,0.0,None,-6.5,46.0,0.7
2019-01-02 00:00,3148.032,74.0,0.0,None,-4.0,350.0,1.5
2019-01-02 01:00,3151.1679999999997,42.0,0.0,None,-3.4,357.0,1.9
2019-01-02 02:00,3160.32,32.0,0.0,None,-2.5,352.0,2.4
2019-01-02 03:00,3186.304,30.0,0.0,None,-1.8,303.0,2.0
2019-01-02 04:00,3204.992,26.0,0.0,None,-1.0,337.0,2.4
2019-01-02 05:00,3881.0879999999997,24.0,0.0,None,-0.5,355.0,2.0
